年,縣市,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,總計
2019,新北市,"16,268","17,644","12,801","14,871","13,744","14,403","17,731","18,642","14,937","17,531","16,214","19,091","193,877"
2019,臺北市,78,24,30,39,10,24,12,20,16,16,60,42,371
2019,桃園市,"3,094","3,573","2,756","2,563","2,721","3,934","4,577","4,649","3,755","3,814","3,838","3,761","43,035"
2019,臺中市,"3,664","3,476","2,644","2,584","2,508","2,934","2,454","2,522","2,227","2,631","2,687","3,195","33,526"
2019,臺南市,"23,481","22,339","16,175","17,662","17,634","20,494","20,371","20,981","20,990","25,295","26,584","29,329","261,335"
2019,高雄市,"4,043","3,994","2,480","3,282","2,803","2,750","3,245","3,159","3,601","4,845","4,942","6,016","45,160"
2019,宜蘭縣,"71,646","70,626","43,322","55,586","53,941","62,250","84,122","79,903","67,994","75,918","73,822","77,965","817,095"
2019,新竹縣,"5,070","5,875","4,379","4,519","3,761","4,872","5,028","4,705","3,488","4,254","4,500","4,762","55,213"
2019,苗栗縣,"18,828","19,864","12,758","16,434","14,266","14,433","16,444","16,390","15,179","19,074","20,073","22,487","206,230"
2019,彰化縣,"4,211","4,068","3,304","4,339","3,884","4,594","4,176","3,766","3,694","4,499","5,164","4,696","50,395"
2019,南投縣,"67,566","70,289","49,394","56,725","48,638","57,440","68,755","70,015","60,637","75,329","77,184","78,866","780,838"
2019,雲林縣,"3,718","4,075","2,521","3,674","2,316","2,800","3,262","3,441","2,919","3,354","3,321","3,725","39,126"
2019,嘉義縣,"11,538","12,005","9,975","11,173","9,003","9,276","12,246","10,480","10,600","14,266","13,967","15,112","139,641"
2019,屏東縣,"50,312","61,492","41,518","54,391","51,215","60,672","88,013","81,079","73,395","81,772","69,707","68,273","781,839"
2019,臺東縣,"80,627","82,714","47,859","63,300","53,586","66,447","113,566","85,136","61,022","71,989","60,477","64,090","850,813"
2019,花蓮縣,"98,474","112,917","76,252","92,091","85,076","93,045","126,314","99,346","66,640","73,678","62,847","62,199","1,048,879"
2019,澎湖縣,"5,491","3,224","7,056","54,193","85,851","91,950","82,385","66,793","59,274","36,771","15,793","11,188","519,969"
2019,基隆市,24,34,20,4,0,150,242,213,191,169,151,186,"1,384"
2019,新竹市,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,嘉義市,50,74,24,15,15,54,56,36,54,97,53,79,607
2019,金門縣,"17,652","17,152","15,412","18,720","23,879","24,964","26,582","23,846","29,371","39,332","38,352","36,106","311,368"
2019,連江縣,"3,548","3,844","6,427","12,312","16,884","16,778","15,876","14,058","15,138","15,952","13,635","11,559","146,011"
